37	4.50655	1	1	-0.0012
37	4.50655	1	2	-0.00050794
37	4.50655	1	3	0.00014342
37	4.50655	1	4	0.00019946
37	4.50655	1	5	1.8195e-005
37	4.50655	2	2	0.00156
37	4.50655	2	3	0.00142
37	4.50655	2	4	0.000374445
37	4.50655	2	5	3.3535e-005
37	4.50655	3	3	0.00103
37	4.50655	3	4	0.00019842
37	4.50655	3	5	1.761e-005
37	4.50655	4	4	1.444e-005
37	4.50655	4	5	1.24e-006
37	4.50655	5	5	1e-007
38	4.56396	1	1	-0.00344
38	4.56396	1	2	-0.00196
38	4.56396	1	3	3.7835e-005
38	4.56396	1	4	0.00049973
38	4.56396	1	5	4.401e-005
38	4.56396	2	2	0.00419
38	4.56396	2	3	0.00408
38	4.56396	2	4	0.00113
38	4.56396	2	5	9.9885e-005
38	4.56396	3	3	0.0031
38	4.56396	3	4	0.000642685
38	4.56396	3	5	5.668e-005
38	4.56396	4	4	6.685e-005
38	4.56396	4	5	5.97e-006
38	4.56396	5	5	5.2e-007
39	4.62066	1	1	0.0001037
39	4.62066	1	2	-3.85e-007
39	4.62066	1	3	-5.1875e-005
39	4.62066	1	4	-1.9765e-005
39	4.62066	1	5	-1.81e-006
39	4.62066	2	2	-0.00020475
39	4.62066	2	3	-0.00014918
39	4.62066	2	4	-3.0715e-005
39	4.62066	2	5	-2.2e-006
39	4.62066	3	3	-8.305e-005
39	4.62066	3	4	-1.1045e-005
39	4.62066	3	5	-5.6e-007
39	4.62066	4	4	-1.24e-006
39	4.62066	4	5	0
39	4.62066	5	5	1e-008
40	4.67667	1	1	-0.00048731
40	4.67667	1	2	-4.395e-005
40	4.67667	1	3	0.000178365
40	4.67667	1	4	9.39e-005
40	4.67667	1	5	8.295e-006
40	4.67667	2	2	0.00076405
40	4.67667	2	3	0.000586665
40	4.67667	2	4	0.000137485
40	4.67667	2	5	1.311e-005
40	4.67667	3	3	0.00035943
40	4.67667	3	4	6.2355e-005
40	4.67667	3	5	6.25e-006
40	4.67667	4	4	3.8e-006
40	4.67667	4	5	5.3e-007
40	4.67667	5	5	6e-008
41	4.73202	1	1	-4.755e-005
41	4.73202	1	2	-5.9605e-005
41	4.73202	1	3	-1.943e-005
41	4.73202	1	4	1.59e-006
41	4.73202	1	5	1e-007
41	4.73202	2	2	-5.44e-006
41	4.73202	2	3	2.161e-005
41	4.73202	2	4	1.0165e-005
41	4.73202	2	5	1.155e-006
41	4.73202	3	3	2.182e-005
41	4.73202	3	4	6.445e-006
41	4.73202	3	5	7.75e-007
41	4.73202	4	4	1.06e-006
41	4.73202	4	5	1.4e-007
41	4.73202	5	5	2e-008
42	4.78672	1	1	0.00094988
42	4.78672	1	2	0.00072322
42	4.78672	1	3	0.00010044
42	4.78672	1	4	-0.000115215
42	4.78672	1	5	-9.87e-006
42	4.78672	2	2	-0.00099833
42	4.78672	2	3	-0.00111
42	4.78672	2	4	-0.000306955
42	4.78672	2	5	-2.7255e-005
42	4.78672	3	3	-0.00089965
42	4.78672	3	4	-0.00017986
42	4.78672	3	5	-1.6175e-005
42	4.78672	4	4	-1.801e-005
42	4.78672	4	5	-1.73e-006
42	4.78672	5	5	-1.6e-007
43	4.84081	1	1	0.00023519
43	4.84081	1	2	-0.00023833
43	4.84081	1	3	-0.00026802
